Kategori,Kata Kunci,Frekuensi,Contoh Ulasan Asli
STRENGTH,pelayanan,558,"- Pelayanan ramah dan baik sekali
- Pelayanan okey, gercep, mbak""nya ramah dan memuaskan, worth it pokoknyaa ✨
- Pelayanan mantap"
STRENGTH,dan,508,"- Pelayanan ramah dan baik sekali
- Pelayanan okey, gercep, mbak""nya ramah dan memuaskan, worth it pokoknyaa ✨
- Pelayanan bagus dan terpercaya"
STRENGTH,ramah,408,"- Pelayanan ramah dan baik sekali
- Pelayanan okey, gercep, mbak""nya ramah dan memuaskan, worth it pokoknyaa ✨
- Pelayanan ramah mbanya juga cekatan klo jelasin produk"
STRENGTH,sangat,191,"- Sangat puas dgn pelayanan service, cuma agak kecewa dgn pembayaran kartu kredit yg ada tambahan charge 2.5% Dari harga barang ya, walaupun akhirnya bisa nego untuk dapat diskon tanpa tambahan charge 2.5%. Terima kasih dgn pelayanan yang ramah dan sopan.
- Terima kasih mas rossi pelayanan dan konfirmasinya sangat cepat
- Pelayanan tanggap, cekatan, solutif dan sangat membantu customer.Senang rasanya bisa berbelanja disini Pasti akan kembali lagi. Terima kasih"
STRENGTH,nyaman,189,"- Pelayanan nyaman sat set
- pelayanan nya bagus ramah tamah..tempat bersih nyaman
- Tempatnya nyaman,pelayananan ramah dan memuaskan."
STRENGTH,bagus,183,"- Pelayanan bagus dan terpercaya
- Sangat bagus pelayanan sales nya ramah dan info diberi sangat banyak dan sangat luas
- Pelayanan nya bagus ramah Bisa kredit juga Bebas parkir"
STRENGTH,nya,178,"- Pelayanan okey, gercep, mbak""nya ramah dan memuaskan, worth it pokoknyaa ✨
- Pelayanan ramah mbanya juga cekatan klo jelasin produk
- Sangat puas dgn pelayanan service, cuma agak kecewa dgn pembayaran kartu kredit yg ada tambahan charge 2.5% Dari harga barang ya, walaupun akhirnya bisa nego untuk dapat diskon tanpa tambahan charge 2.5%. Terima kasih dgn pelayanan yang ramah dan sopan."
STRENGTH,baik,175,"- Pelayanan ramah dan baik sekali
- Tiga putra terbaik...
- Pegawainya ramah2.. Sudah bberapa kali beli handphone dsini alhamdulillah sll d layani dgn baik"
STRENGTH,putra,173,"- Tiga putra terbaik...
- Beliii tab samsung di handle mba rika Aku tanya ini ituuu, Penjelasan detil bgt hihi Thanksss tiga putra
- Sangat memuaskan belanja di tigaputra pelayanan ramah produknya di jelaskan secara detail dan berkali kali belanja di sini sangat puas"
STRENGTH,di,165,"- Sangat puas dgn pelayanan service, cuma agak kecewa dgn pembayaran kartu kredit yg ada tambahan charge 2.5% Dari harga barang ya, walaupun akhirnya bisa nego untuk dapat diskon tanpa tambahan charge 2.5%. Terima kasih dgn pelayanan yang ramah dan sopan.
- Pelayanan tanggap, cekatan, solutif dan sangat membantu customer.Senang rasanya bisa berbelanja disini Pasti akan kembali lagi. Terima kasih
- Pelayanan sangat sampai diantar bekerja"
WEAKNESS,di,92,"- Niatnya ingin beli aksesoris berangkat kantor, tapi ragu ada yang buka dan sejalan. rupanya setelah lewat kawi ada toko ini buka di jam 8 an pagi.
- toko hp termurah dan terlengkap di kota malang
- pelayanan kurang memuaskan, update info aksesoris terlalu terbelit belit, tidak transparant saat sebelum pembelian, padahal saya belinya juga cash ga cicil, minimal kalau memang barang/aksesoris kosong, ngomong di awal, jangan setengah2 hanya ingin capai target, udah 3 bulan saya tunggu gaada kejelasan, disini saya beli huawei matepad se"
WEAKNESS,hp,88,"- Kecewaaaa buangeeett ke sini, baru pertama kali kesini saya jauh datang dr luar kota. Hp yg sy order awalnya bilangnya ada, ternyata hpnya zonk. Parahnya lagi sy sudah nggu lebih dari satu jam. Kecewwaaaa....
- Saya beli hp katanya ada mulai sebelum maghrib sampai habis isya ternyata barang tidak ada, tipu tipu
- toko hp termurah dan terlengkap di kota malang"
WEAKNESS,dan,86,"- Niatnya ingin beli aksesoris berangkat kantor, tapi ragu ada yang buka dan sejalan. rupanya setelah lewat kawi ada toko ini buka di jam 8 an pagi.
- toko hp termurah dan terlengkap di kota malang
- Pelayanan super ramah dan Excellent service Dapat welconedrink dan camilan untuk menemani aku yang lagi Pindah data hehe"
WEAKNESS,saya,67,"- Kecewaaaa buangeeett ke sini, baru pertama kali kesini saya jauh datang dr luar kota. Hp yg sy order awalnya bilangnya ada, ternyata hpnya zonk. Parahnya lagi sy sudah nggu lebih dari satu jam. Kecewwaaaa....
- Saya beli hp katanya ada mulai sebelum maghrib sampai habis isya ternyata barang tidak ada, tipu tipu
- pelayanan kurang memuaskan, update info aksesoris terlalu terbelit belit, tidak transparant saat sebelum pembelian, padahal saya belinya juga cash ga cicil, minimal kalau memang barang/aksesoris kosong, ngomong di awal, jangan setengah2 hanya ingin capai target, udah 3 bulan saya tunggu gaada kejelasan, disini saya beli huawei matepad se"
WEAKNESS,ada,62,"- Kecewaaaa buangeeett ke sini, baru pertama kali kesini saya jauh datang dr luar kota. Hp yg sy order awalnya bilangnya ada, ternyata hpnya zonk. Parahnya lagi sy sudah nggu lebih dari satu jam. Kecewwaaaa....
- Saya beli hp katanya ada mulai sebelum maghrib sampai habis isya ternyata barang tidak ada, tipu tipu
- Niatnya ingin beli aksesoris berangkat kantor, tapi ragu ada yang buka dan sejalan. rupanya setelah lewat kawi ada toko ini buka di jam 8 an pagi."
WEAKNESS,beli,62,"- Saya beli hp katanya ada mulai sebelum maghrib sampai habis isya ternyata barang tidak ada, tipu tipu
- Niatnya ingin beli aksesoris berangkat kantor, tapi ragu ada yang buka dan sejalan. rupanya setelah lewat kawi ada toko ini buka di jam 8 an pagi.
- pelayanan kurang memuaskan, update info aksesoris terlalu terbelit belit, tidak transparant saat sebelum pembelian, padahal saya belinya juga cash ga cicil, minimal kalau memang barang/aksesoris kosong, ngomong di awal, jangan setengah2 hanya ingin capai target, udah 3 bulan saya tunggu gaada kejelasan, disini saya beli huawei matepad se"
WEAKNESS,nya,56,"- Kecewaaaa buangeeett ke sini, baru pertama kali kesini saya jauh datang dr luar kota. Hp yg sy order awalnya bilangnya ada, ternyata hpnya zonk. Parahnya lagi sy sudah nggu lebih dari satu jam. Kecewwaaaa....
- Saya beli hp katanya ada mulai sebelum maghrib sampai habis isya ternyata barang tidak ada, tipu tipu
- Pelayanannya bagus semua.."
WEAKNESS,yg,50,"- Kecewaaaa buangeeett ke sini, baru pertama kali kesini saya jauh datang dr luar kota. Hp yg sy order awalnya bilangnya ada, ternyata hpnya zonk. Parahnya lagi sy sudah nggu lebih dari satu jam. Kecewwaaaa....
- Cari hp apa aja ada & harganya terjangkau, terima kasih buat mas Adit yg selalu setia mengantarkan orderan saya
- Pasang screen guard, ada 2 screen guard 100 rb or gimana gt ya waktu itu. Lamaaaaa banget, trnyt orang baru. Oke lah ya, aku kira ngapain kok lama banget pasang gt aja, lebih dr 30 menit meskipun ya mungkin karena orang baru. Terus trnyt 1 itu ada yg kotor, jd balik lg ke tempat minta dibenerin. Nunggu luaaammaaaaa lg selama2 nya, ktnya org nya istirahat. Lah, ganti aja masak harus nunggu org tadi balik. Kita ini juga punya perlu masak seharian harus tetap di sana sih. Ditelpon2 in orangnya ga balik, diliat2 berapa kali hape itu, masak ga ada bapak ibu manager gt yg di tempat. Pegawai apa ga lapor ke mereka gt? Akirnya setelah telpon 5x ke trainee td, dia minta tolong staf lain, yg udah berpengalaman. Itu pun masih nunggu lamaa gatau apa maunya. Udah ganti berapa org yg ngeliat kondisi screen guard nya ya. Dan akirnya yaowoh diganti baru, setelah lama banget padahal rencana itu mau ke mall sebelah tapi ga bisa gara2 nungguin staf di toko hape ini ya. Tau ga berapa menit itu mas ganti screen guard. Ga sampe 5 menit. 5 menit lah plg lama. Bayangkan lah. Apa dikira kita ini kengangguran punya waktu banyak buat nunggu. Sebenarnya ga mau aku post ini juga. Tapi 2 bulan screen guard itu uda bentol2. Melepuh. Gimana ini ya. Bagus an screen guard bawaan hape nya ya. Terus bagian pinggir geser2 sendiri gt. Kualitas apa ini screen guard nya"
WEAKNESS,yang,50,"- Niatnya ingin beli aksesoris berangkat kantor, tapi ragu ada yang buka dan sejalan. rupanya setelah lewat kawi ada toko ini buka di jam 8 an pagi.
- Pelayanan super ramah dan Excellent service Dapat welconedrink dan camilan untuk menemani aku yang lagi Pindah data hehe
- Pasang screen guard, ada 2 screen guard 100 rb or gimana gt ya waktu itu. Lamaaaaa banget, trnyt orang baru. Oke lah ya, aku kira ngapain kok lama banget pasang gt aja, lebih dr 30 menit meskipun ya mungkin karena orang baru. Terus trnyt 1 itu ada yg kotor, jd balik lg ke tempat minta dibenerin. Nunggu luaaammaaaaa lg selama2 nya, ktnya org nya istirahat. Lah, ganti aja masak harus nunggu org tadi balik. Kita ini juga punya perlu masak seharian harus tetap di sana sih. Ditelpon2 in orangnya ga balik, diliat2 berapa kali hape itu, masak ga ada bapak ibu manager gt yg di tempat. Pegawai apa ga lapor ke mereka gt? Akirnya setelah telpon 5x ke trainee td, dia minta tolong staf lain, yg udah berpengalaman. Itu pun masih nunggu lamaa gatau apa maunya. Udah ganti berapa org yg ngeliat kondisi screen guard nya ya. Dan akirnya yaowoh diganti baru, setelah lama banget padahal rencana itu mau ke mall sebelah tapi ga bisa gara2 nungguin staf di toko hape ini ya. Tau ga berapa menit itu mas ganti screen guard. Ga sampe 5 menit. 5 menit lah plg lama. Bayangkan lah. Apa dikira kita ini kengangguran punya waktu banyak buat nunggu. Sebenarnya ga mau aku post ini juga. Tapi 2 bulan screen guard itu uda bentol2. Melepuh. Gimana ini ya. Bagus an screen guard bawaan hape nya ya. Terus bagian pinggir geser2 sendiri gt. Kualitas apa ini screen guard nya"
WEAKNESS,itu,39,"- Pasang screen guard, ada 2 screen guard 100 rb or gimana gt ya waktu itu. Lamaaaaa banget, trnyt orang baru. Oke lah ya, aku kira ngapain kok lama banget pasang gt aja, lebih dr 30 menit meskipun ya mungkin karena orang baru. Terus trnyt 1 itu ada yg kotor, jd balik lg ke tempat minta dibenerin. Nunggu luaaammaaaaa lg selama2 nya, ktnya org nya istirahat. Lah, ganti aja masak harus nunggu org tadi balik. Kita ini juga punya perlu masak seharian harus tetap di sana sih. Ditelpon2 in orangnya ga balik, diliat2 berapa kali hape itu, masak ga ada bapak ibu manager gt yg di tempat. Pegawai apa ga lapor ke mereka gt? Akirnya setelah telpon 5x ke trainee td, dia minta tolong staf lain, yg udah berpengalaman. Itu pun masih nunggu lamaa gatau apa maunya. Udah ganti berapa org yg ngeliat kondisi screen guard nya ya. Dan akirnya yaowoh diganti baru, setelah lama banget padahal rencana itu mau ke mall sebelah tapi ga bisa gara2 nungguin staf di toko hape ini ya. Tau ga berapa menit itu mas ganti screen guard. Ga sampe 5 menit. 5 menit lah plg lama. Bayangkan lah. Apa dikira kita ini kengangguran punya waktu banyak buat nunggu. Sebenarnya ga mau aku post ini juga. Tapi 2 bulan screen guard itu uda bentol2. Melepuh. Gimana ini ya. Bagus an screen guard bawaan hape nya ya. Terus bagian pinggir geser2 sendiri gt. Kualitas apa ini screen guard nya
- Nyari screenguard buat tab. Awalnya amaze sat set sat set, diiyakan kalau mereka punya, tanpa cek tipe tabnya. Kemudian agak aneh karena langsung diarahkan ke kasir untuk bayar padahal barang belum dicek. Ya udah saya iyain aja, dengan asumsi mereka pasti ada dan punya. Setelah bayar disuruh ke lantai 2. Di lantai 2 saya tunggu, gak lama ada mbaknya yang langsung menuju ke printer screenguard, tanpa tanya tipe tab saya, apalagi diminta unitnya untuk dicek. Akhirnya saya yang harus proaktif ""mba mau ngeprint ya? Ini tabnya Itel xxxxxx ya"" sambil aku serahkan unitnya. Udah tu aku kira aman. Tinggal tunggu selesai. Gak taunya, mereka bilang ""kak ini tabnya kebesaran"". Ya udah marahlah saya di situ Saya dari awal udah nunjukin di hp, ini merek dan tipe tabnya apa. Sesuai pamflet brandnya. Jadi bukan saya salah kasih info. KENAPA GAK TANYA/DIPASTIKAN DARI AWAL TAB SAYA TIPE APA? KENAPA BURU2 SAYA LANGSUNG DISURUH BAYAR TANPA CEK PRODUK YG DITAWARIN BAIK2?! akhirnya tentu saja saya di refund. Tapikan rugi waktu dan emosi sih, pelayanan macam apa ini Udah gitu mbanya cuma balikin tab, gak minta maaf. Cuma bilang kalau tabnya kebesaran dan screen guardnya gak cukup. Hebat banget pelayanannya
- Pelayanan TIGA PUTRA dari dulu memang sangat buruk. Dulu pernah beli dapet sales cowo yg pelayanannya buruk, bisa marah2 gitu ke customer. barusan sekarang coba beli lagi ternyata pelayanan salesnya buruk lagi. Yg barusan dilayani ama sales cewe namanya iin. Belum beli aja, lu ngejar ngejar customer suruh beli barangnya. Abis selesai dibeli dibayar, salesnya tidak mau meladeni lagi. Gak bakall deh beli lagi di tiga putraa !!!!!mending saya beli di samsung official store aja langsung, halah beli disini palingan cuman dapet potongan 50 ribu - 100 ribu doankk dengan pelayanannn burukkk sekalii!! Kasi minum air putih aja gak dikasi sama sekaliii,,,kagak modalll!!!! Gak bakalll ke tempat ini lagi....cukup kmrn terakhir kali .."
OPPORTUNITY,customer,34,"- Pelayanan nya cepat dan ramah, customer service nya menjelaskan dengan detail, tempat nya luas dan bersih
- Pelayanan tanggap, cekatan, solutif dan sangat membantu customer.Senang rasanya bisa berbelanja disini Pasti akan kembali lagi. Terima kasih
- Customer servicenya baik, welcome sekali dari pertama masuk.. Terimakasih atas pelayanannya yg sangat baik"
OPPORTUNITY,promo,26,"- Pelayanan bagus, banyak promo, tempat bagus...
- Helpful, promo menarik
- Pelayanan bagus , promo banyak dan tempat nyaman"
OPPORTUNITY,hadiah,10,"- Promonya oke hadiah oke dan pelayanannya oke Terimakasih mas tama
- Pelayanan mbak diajeng very good.. Udah langganan kapan dikasih hadiah ya
- Pelayanan oke bgt,, byk diskon dan paling ibu2 suka bisa nyicil acara lomba byk bgt hadiah langsung gratis lagi pendaftarannya"
OPPORTUNITY,bonus,7,"- Thanks ka Dika sdh bantu pilih hp dan cek semuanya...dpt tws. Smg next ada lebih byk bonus yaa
- Pita tiara warna biru Tiga putra semakin maju Terimakasih Tiga Putra Banyak produc nya murah dan bnyak bonus
- Tolong kondisikan pegawainya.. Saya mau beli Poco F3, malah dirayu terus untuk ambil reno6.. sampai dikasih informasi yang salah lagi, kasih info jelek tentang Poco... Ya mungkin mereka dapat bonus kl bisa jual reno6,, hehe"
OPPORTUNITY,diskon,7,"- Sangat puas dgn pelayanan service, cuma agak kecewa dgn pembayaran kartu kredit yg ada tambahan charge 2.5% Dari harga barang ya, walaupun akhirnya bisa nego untuk dapat diskon tanpa tambahan charge 2.5%. Terima kasih dgn pelayanan yang ramah dan sopan.
- Mohon maaf tapi emang harus ⭐1, di tanya di DM IG boleh atau ga beli di Shopee tapi ambil di toko balesannya gak boleh, di tanya di official tokonya juga di Shopee gak boleh juga, lumayan padahal voucher diskon saya, eh begitu beli di toko, ada yg beli lewat Shopee, hpnya diambil sendiri, notanya doang dikirim sama kurir, kocaaakkkkkk
- Pelayanan oke bgt,, byk diskon dan paling ibu2 suka bisa nyicil acara lomba byk bgt hadiah langsung gratis lagi pendaftarannya"
OPPORTUNITY,online,5,"- Tolong kedepannya kl konsumen bilang pakai kartu kredit jgn di jebak buat bikin akun pinjol ya! Apalagi pinjol indodana. Orang jelas2 pake kartu kredit malah disuruh daftar pinjol. Terus kl udh pake kartu kredit tuh biasannya lgsg pake kartu. Kok bisannya di jebak pembayarannya lewat ecommerce? Tau gitu beli online aja gk ush repot2 datang.
- Gak niat ngadain doorprize buat konsumen. Mending beli online aja banyak promo.
- Toko handphone terlengkap di Malang, apalagi yang garansi resmi termasuk cepat masuk di sini setelah toko online. Harga bersaing."
OPPORTUNITY,shopee,3,"- Pelayanan ok....harga lumayan bs dapet disc dari Shopee... Tks
- Mohon maaf tapi emang harus ⭐1, di tanya di DM IG boleh atau ga beli di Shopee tapi ambil di toko balesannya gak boleh, di tanya di official tokonya juga di Shopee gak boleh juga, lumayan padahal voucher diskon saya, eh begitu beli di toko, ada yg beli lewat Shopee, hpnya diambil sendiri, notanya doang dikirim sama kurir, kocaaakkkkkk
- Baru saja ngalamin transaksi di tiga putra kawi, tidak tahu kenapa yg awalnya lancar, baik2 saja dan sudah transaksi di lewat shopee, sempat nunggu lama. Tiba2 pegawainya bilang barang yg saya beli tidak tersedia, dan hanya sisa display .. padahal sebelumnya sempat tanya katanya tidak ada display aneh sih ini, bener2 jadi tanda tanya besar. Dan setelah saya cek lagi barang tersebut masih ada di shopee."
OPPORTUNITY,cashback,2,"- Duluuu banget jaman beli hp pertama tuh di Tiga Putra yang di Gajahmada. Akhirnya kembali ke Tiga Putra lagi setelah buka di Kawi yang deketttt buanget sama rumah. Trus ada Grapari nya di lantai 2. Seneng banget kalo butuh ke Grapari gak usah jauh2 lagi. Graparinya yg di sini pelayananannya juga oke (udah pernah saya review). Lokasinya strategis, akses parkir gampang, tempat bersih, nyaman, luas. Pelayanan dari pintu masuk, pembelian, pembayaran, sampe instalasi sangat baik semua. Hari ini saya beli produk pas banget ada promo cashback 300rb. Berlaku sampe tanggal 10 Juli 2024 aja guys. Buruan.
- Toko nya bagus,pelayanannya baik,karyawannya ramah,banyak cashback bikin pelanggan tertarik"
OPPORTUNITY,aplikasi,1,"- Memuaskan.. harga lebih murah dibanding bbrp counter hp resmi, pelayanan baik dan ramah. Dan bisa bantu pindahkan data kontak,foto,video, aplikasi dari hp lama ke hp baru yg kalo dikerjakan sendiri butuh waktu berhari2/sampe mingguan, ini cuma 1,5jam (data yg dipindahkan juga sangat besar sampe 40GB)."
OPPORTUNITY,bisnis,1,"- Ruangan sedikit panas/pengap karena ac kurang dingin, kusus hp, tapi assesori nya tidak lengkap, lokasi di premium bisnis....dekat mog"
OPPORTUNITY,blibli,1,"- Beli hp Oppo F7 dengan pilihan warna yang saat itu kosong, lalu dengan ramahnya menawarkan inden dulu sehari. Lalu besoknya dikabari kalo barang uda datang, alhasil dapat dehh.. Utk pembayarannya bisa pakai kartu kredit dan bisa cicilan 0%, saat itu pembeliannya via Blibli. Hanya saja display nya kurang banyak."
OPPORTUNITY,canggih,1,"- Jika mencari lebih dari sekadar toko elektronik, melangkahlah ke Tiga Putra Kawi tempat di mana teknologi bertemu dengan gaya hidup.Dari rak-rak penuh dengan gadget terbaru hingga sudut-sudut yang diisi dengan perangkat elektronik canggih, setiap sudut Tiga Putra Kawi menyiratkan kisah yang menarik."
OPPORTUNITY,event,1,"- Pelayanan bagus, mas mbak nya ramah, dan banyak event-event menarik di tiga putra.. mantap"
OPPORTUNITY,gojek,1,"- pas minggu ke toko kawi, lagi berdiri dekat kasir, kasirnya ditanyaain sama mbak mbak disampingnya, kasirnya malah JUDES banget jawabnya. meski ngobrol sama sesama karyawan, kesannya kurang baik aja kalo di depan customer. dan posisi di depannya ada gojek lagi antri mau ambil barang. attitude mbak kasirnya tolong di perbaiki lagi"
OPPORTUNITY,grab,1,"- Cuma numpang lewat dan berhenti ambil cs grab , dari luar kayaknya tempatnya nyaman, parkir juga luas"
OPPORTUNITY,voucher,1,"- Mohon maaf tapi emang harus ⭐1, di tanya di DM IG boleh atau ga beli di Shopee tapi ambil di toko balesannya gak boleh, di tanya di official tokonya juga di Shopee gak boleh juga, lumayan padahal voucher diskon saya, eh begitu beli di toko, ada yg beli lewat Shopee, hpnya diambil sendiri, notanya doang dikirim sama kurir, kocaaakkkkkk"
OPPORTUNITY,teknologi,1,"- Jika mencari lebih dari sekadar toko elektronik, melangkahlah ke Tiga Putra Kawi tempat di mana teknologi bertemu dengan gaya hidup.Dari rak-rak penuh dengan gadget terbaru hingga sudut-sudut yang diisi dengan perangkat elektronik canggih, setiap sudut Tiga Putra Kawi menyiratkan kisah yang menarik."
THREAT,bersaing,31,"- Layanan cepat dan ramah dengan harga bersaing jika membutuhkan handphone..
- Pelayanan oke harga bersaing
- Terimakasih banyak, Mas Agung, wes sabar njelasno kanan kiri ke sy yg bingung cari hp, soalnya pilihanya lengkap dan bersaing. Wes pokoknya jempol rekomended wes... Thanks 3 putra. Sudah dapat gift juga n undian... Mudah2an dapat. Amin2"
THREAT,mahal,12,"- lain kali kalo nyales jangan terlalu maksa ya mas, td waktu beli dia nyaranin nambah hydrogel dan katanya ga ada yg jual hydrogel dimanapun selain disitu dan itu ngotot bgt astaga (agak mau marah, soalnya di tempatku kerja jg ada hydrogel buat tab wkwk) mana harga nya mahal bener 150 rebu. setelah liat ulasan banyak yg complain perkara hydrogel, bersyukur sih gajadi pasang wkwkw
- Tempat besar, mud ah ditemukan, parkir luas, protokol kesehatan baik, pelayanan ramah, hp dan aksesoris lumayan lengkap, harga beberapa ada yang menurut saya agak mahal tapi overall standard lah.
- Kurang lengkap, dan harga yang ditawarkan relatif lebih mahal..."
THREAT,toko lain,9,"- Hari ini sebenernya mau beli HP ke toko ini, di rumah liat rating toko banyak yg bintang 1, kasir judes, cari toko lain aja. Wkwkw
- Mantab, produk lengkap, pilihan varian selali tersedia, pelayanan sangat memuaskan, sales ramah, harga termurah, sudah cari di toko lain, ternyata pilihan termurah tetap di tiga putra, pertahankan, puas bgt belanja di tiga putra
- Harganya miring dibanding toko lain,Itemnya jga banyak,salesnya ramah2 ngasih masukan hp yg kita butuhin.Tokonya gede&Bersih."
THREAT,sebelah,7,"- Punya pengalaman beli iPhone yang cukup mengecewakan di ‘toko sebelah’ area suhat yang lebih besar dan punya nama. Syukurlah disini baik banget mbak yang bantu ngecek, informatif, dan tanggap. Thankyou mbak Via. Ga sempet moto mbaknya. Tapi aku pelanggan yg akan loyal kalau pelayanan baik. Pastinya akan memilih beli disini kalau cari iPhone lagi.
- Pasang screen guard, ada 2 screen guard 100 rb or gimana gt ya waktu itu. Lamaaaaa banget, trnyt orang baru. Oke lah ya, aku kira ngapain kok lama banget pasang gt aja, lebih dr 30 menit meskipun ya mungkin karena orang baru. Terus trnyt 1 itu ada yg kotor, jd balik lg ke tempat minta dibenerin. Nunggu luaaammaaaaa lg selama2 nya, ktnya org nya istirahat. Lah, ganti aja masak harus nunggu org tadi balik. Kita ini juga punya perlu masak seharian harus tetap di sana sih. Ditelpon2 in orangnya ga balik, diliat2 berapa kali hape itu, masak ga ada bapak ibu manager gt yg di tempat. Pegawai apa ga lapor ke mereka gt? Akirnya setelah telpon 5x ke trainee td, dia minta tolong staf lain, yg udah berpengalaman. Itu pun masih nunggu lamaa gatau apa maunya. Udah ganti berapa org yg ngeliat kondisi screen guard nya ya. Dan akirnya yaowoh diganti baru, setelah lama banget padahal rencana itu mau ke mall sebelah tapi ga bisa gara2 nungguin staf di toko hape ini ya. Tau ga berapa menit itu mas ganti screen guard. Ga sampe 5 menit. 5 menit lah plg lama. Bayangkan lah. Apa dikira kita ini kengangguran punya waktu banyak buat nunggu. Sebenarnya ga mau aku post ini juga. Tapi 2 bulan screen guard itu uda bentol2. Melepuh. Gimana ini ya. Bagus an screen guard bawaan hape nya ya. Terus bagian pinggir geser2 sendiri gt. Kualitas apa ini screen guard nya
- Miminnya baik banget. Untuk harga lebih miring dari toko sebelah. Tapi produknya ++"
THREAT,sepi,3,"- pelayanan super lama padahal sepi, pasang screenguard nggak rapi sama sekali. jangan pasang screenguard disini.
- Pelayanannya lama banget, sampe capek nunggu, padahal sepi, banyak pegawai yang nganggur juga.. Jual hape tapi barangnya masih ngambil dulu soalnya ga tersedia.. Parah sih
- Tiga putrakawi, sepi, tiga putra pecinan, sepi,"
THREAT,biaya,1,"- Pengalaman pribadi, dtg d sambut dengan ramah. Ditanya keperluan ( disini cum terima orang beli hape dan ekosistemnya , klo mau lahiran di sebelahnya) cek hape yg d inginkan trus pilih metode pembayaran kau mau apa kredit bisa, lengkap mau pilih apa ada semua. Pake kk bisa , tunai super bisa sekali. G ada biaya parkir drpd d onoh d prat prit. Sukses selalu tiga putra"
THREAT,rugi,1,"- Nyari screenguard buat tab. Awalnya amaze sat set sat set, diiyakan kalau mereka punya, tanpa cek tipe tabnya. Kemudian agak aneh karena langsung diarahkan ke kasir untuk bayar padahal barang belum dicek. Ya udah saya iyain aja, dengan asumsi mereka pasti ada dan punya. Setelah bayar disuruh ke lantai 2. Di lantai 2 saya tunggu, gak lama ada mbaknya yang langsung menuju ke printer screenguard, tanpa tanya tipe tab saya, apalagi diminta unitnya untuk dicek. Akhirnya saya yang harus proaktif ""mba mau ngeprint ya? Ini tabnya Itel xxxxxx ya"" sambil aku serahkan unitnya. Udah tu aku kira aman. Tinggal tunggu selesai. Gak taunya, mereka bilang ""kak ini tabnya kebesaran"". Ya udah marahlah saya di situ Saya dari awal udah nunjukin di hp, ini merek dan tipe tabnya apa. Sesuai pamflet brandnya. Jadi bukan saya salah kasih info. KENAPA GAK TANYA/DIPASTIKAN DARI AWAL TAB SAYA TIPE APA? KENAPA BURU2 SAYA LANGSUNG DISURUH BAYAR TANPA CEK PRODUK YG DITAWARIN BAIK2?! akhirnya tentu saja saya di refund. Tapikan rugi waktu dan emosi sih, pelayanan macam apa ini Udah gitu mbanya cuma balikin tab, gak minta maaf. Cuma bilang kalau tabnya kebesaran dan screen guardnya gak cukup. Hebat banget pelayanannya"
THREAT,antri,1,"- pas minggu ke toko kawi, lagi berdiri dekat kasir, kasirnya ditanyaain sama mbak mbak disampingnya, kasirnya malah JUDES banget jawabnya. meski ngobrol sama sesama karyawan, kesannya kurang baik aja kalo di depan customer. dan posisi di depannya ada gojek lagi antri mau ambil barang. attitude mbak kasirnya tolong di perbaiki lagi"
